value,occurrence_count,recipe_support,recipe_prevalence,occurrences_per_supporting_recipe,examples
butter powder,1,1,1.827e-05,1.0,butter powder
or lemon mustard vinaigrette,1,1,1.827e-05,1.0,or lemon mustard vinaigrette
sherry vinaigrette,1,1,1.827e-05,1.0,sherry vinaigrette
extras,1,1,1.827e-05,1.0,extras
grains or beans,1,1,1.827e-05,1.0,grains or beans
raw or vegetables,1,1,1.827e-05,1.0,raw or vegetables
plus 3 tablespoons rosemary leaves,1,1,1.827e-05,1.0,plus 3 tablespoons rosemary leaves
plus 2 tablespoons coarse salt,1,1,1.827e-05,1.0,plus 2 tablespoons coarse salt
plus 3 tablespoons thyme leaves,1,1,1.827e-05,1.0,plus 3 tablespoons thyme leaves
jarred garlic,1,1,1.827e-05,1.0,jarred garlic
cut up cucumbers,1,1,1.827e-05,1.0,cut up cucumbers
adobo sauce or 1 chipotle pepper and adobo sauce,1,1,1.827e-05,1.0,adobo sauce or 1 chipotle pepper and adobo sauce
seasoned and chicken breasts,1,1,1.827e-05,1.0,seasoned and chicken breasts
or tomatoes and juice,1,1,1.827e-05,1.0,or tomatoes and juice
medium grain rice,1,1,1.827e-05,1.0,medium grain rice
pkg ravioli,1,1,1.827e-05,1.0,pkg ravioli
chocolate crumb crust,1,1,1.827e-05,1.0,chocolate crumb crust
focaccia or french bread,1,1,1.827e-05,1.0,focaccia or french bread
really good marinara sauce,1,1,1.827e-05,1.0,really good marinara sauce
raw italian sausage links,1,1,1.827e-05,1.0,raw italian sausage links
shallot or 1 2 small onion,1,1,1.827e-05,1.0,shallot or 1 2 small onion
jar chipotle salsa,1,1,1.827e-05,1.0,jar chipotle salsa
envelope beefy onion soup mix,1,1,1.827e-05,1.0,envelope beefy onion soup mix
beer or nonalcoholic beer,1,1,1.827e-05,1.0,beer or nonalcoholic beer
beef sirloin tip roast,1,1,1.827e-05,1.0,beef sirloin tip roast
and 1 2 tablespoon light soy sauce,1,1,1.827e-05,1.0,and 1 2 tablespoon light soy sauce
potato starch or more to coat the eggplant,1,1,1.827e-05,1.0,potato starch or more to coat the eggplant
fried corn tortillas,1,1,1.827e-05,1.0,fried corn tortillas
teas cumin,1,1,1.827e-05,1.0,teas cumin
good tequila,1,1,1.827e-05,1.0,good tequila
condensed beef consomme,1,1,1.827e-05,1.0,condensed beef consomme
pure anise extract,1,1,1.827e-05,1.0,pure anise extract
kellogg s eggo homestyle waffles,1,1,1.827e-05,1.0,kellogg s eggo homestyle waffles
mandarin orange juice,1,1,1.827e-05,1.0,mandarin orange juice
firm mild fish fillets,1,1,1.827e-05,1.0,firm mild fish fillets
pliable ancho chile,1,1,1.827e-05,1.0,pliable ancho chile
firm ripe large peaches,1,1,1.827e-05,1.0,firm ripe large peaches
mesquite flavored liquid smoke concentrate,1,1,1.827e-05,1.0,mesquite flavored liquid smoke concentrate
heaping cup cilantro leaves,1,1,1.827e-05,1.0,heaping cup cilantro leaves
stiel rosmarin,1,1,1.827e-05,1.0,stiel rosmarin
bunte zucchini,1,1,1.827e-05,1.0,bunte zucchini
packung grissini,1,1,1.827e-05,1.0,packung grissini
italienische salami,1,1,1.827e-05,1.0,italienische salami
eingelegte peperoni,1,1,1.827e-05,1.0,eingelegte peperoni
whole chuck eye roast,1,1,1.827e-05,1.0,whole chuck eye roast
whole new mexico,1,1,1.827e-05,1.0,whole new mexico
whole chile ancho or pasilla,1,1,1.827e-05,1.0,whole chile ancho or pasilla
whole chile negro,1,1,1.827e-05,1.0,whole chile negro
quart low sodium or chicken stock,1,1,1.827e-05,1.0,quart low sodium or chicken stock
liter wasser,1,1,1.827e-05,1.0,liter wasser
schinken oder putenbrust,1,1,1.827e-05,1.0,schinken oder putenbrust
knoblauchpulver,1,1,1.827e-05,1.0,knoblauchpulver
dose champignons,1,1,1.827e-05,1.0,dose champignons
ol fur das blech,1,1,1.827e-05,1.0,ol fur das blech
mushroom and olive pasta sauce,1,1,1.827e-05,1.0,mushroom and olive pasta sauce
italian style chicken breast,1,1,1.827e-05,1.0,italian style chicken breast
cornbread crumbs,1,1,1.827e-05,1.0,cornbread crumbs
whole wheat dinner rolls,1,1,1.827e-05,1.0,whole wheat dinner rolls
mushrooms of your choice,1,1,1.827e-05,1.0,mushrooms of your choice
organic,1,1,1.827e-05,1.0,organic
reisling wine,1,1,1.827e-05,1.0,reisling wine
grilled steak,1,1,1.827e-05,1.0,grilled steak
2 teaspoons onion powder,1,1,1.827e-05,1.0,2 teaspoons onion powder
1 teaspoon paprika,1,1,1.827e-05,1.0,1 teaspoon paprika
skinned tomatoes,1,1,1.827e-05,1.0,skinned tomatoes
white poppy seeds or ground almonds,1,1,1.827e-05,1.0,white poppy seeds or ground almonds
x 5cm pieces cinnamon stick,1,1,1.827e-05,1.0,x 5cm pieces cinnamon stick
and british free range chicken thighs and breasts,1,1,1.827e-05,1.0,and british free range chicken thighs and breasts
butter or ghee,1,1,1.827e-05,1.0,butter or ghee
seeds from 20 green cardamom pods,1,1,1.827e-05,1.0,seeds from 20 green cardamom pods
sunflower oil for shallow frying,1,1,1.827e-05,1.0,sunflower oil for shallow frying
hot green cayenne chillies,1,1,1.827e-05,1.0,hot green cayenne chillies
toasted slivered or flaked almonds,1,1,1.827e-05,1.0,toasted slivered or flaked almonds
mixed mint and coriander to garnish,1,1,1.827e-05,1.0,mixed mint and coriander to garnish
red cayenne or kashmiri chillies,1,1,1.827e-05,1.0,red cayenne or kashmiri chillies
red and yellow beets,1,1,1.827e-05,1.0,red and yellow beets
yogurt or soy yogurt,1,1,1.827e-05,1.0,yogurt or soy yogurt
tomatoes or 1 14 ounce can tomatoes,1,1,1.827e-05,1.0,tomatoes or 1 14 ounce can tomatoes
fluid ounces white wine,1,1,1.827e-05,1.0,fluid ounces white wine
ground veal and or pork,1,1,1.827e-05,1.0,ground veal and or pork
baldo or arborio rice,1,1,1.827e-05,1.0,baldo or arborio rice
ripe but firm mango,1,1,1.827e-05,1.0,ripe but firm mango
plus 1 tsp lime juice,1,1,1.827e-05,1.0,plus 1 tsp lime juice
diagonally thinly celery,1,1,1.827e-05,1.0,diagonally thinly celery
english pea puree,1,1,1.827e-05,1.0,english pea puree
loosely pea shoots or pea sprouts,1,1,1.827e-05,1.0,loosely pea shoots or pea sprouts
boar s head natural casing pepperoni,1,1,1.827e-05,1.0,boar s head natural casing pepperoni
lemon balm,1,1,1.827e-05,1.0,lemon balm
and 1 2 teaspoons ground cinnamon,1,1,1.827e-05,1.0,and 1 2 teaspoons ground cinnamon
and 1 2 cups all purpose flour,1,1,1.827e-05,1.0,and 1 2 cups all purpose flour
stiele oregano,1,1,1.827e-05,1.0,stiele oregano
punnet of cherry tomatoes,1,1,1.827e-05,1.0,punnet of cherry tomatoes
tins of salad corn niblets,1,1,1.827e-05,1.0,tins of salad corn niblets
crunchy corn,1,1,1.827e-05,1.0,crunchy corn
racks spareribs,1,1,1.827e-05,1.0,racks spareribs
purchased tomato based barbecue sauce,1,1,1.827e-05,1.0,purchased tomato based barbecue sauce
hakusai,1,1,1.827e-05,1.0,hakusai
1 2 2 pounds,1,1,1.827e-05,1.0,1 2 2 pounds
fire roasted red peppers,1,1,1.827e-05,1.0,fire roasted red peppers
refrigerator pickles,1,1,1.827e-05,1.0,refrigerator pickles
white rice and or corn tortillas,1,1,1.827e-05,1.0,white rice and or corn tortillas
inch piece canela,1,1,1.827e-05,1.0,inch piece canela
to 26 ounce jar marinara sauce,1,1,1.827e-05,1.0,to 26 ounce jar marinara sauce
yellow corn with red and green bell peppers,1,1,1.827e-05,1.0,yellow corn with red and green bell peppers
hot picante sauce,1,1,1.827e-05,1.0,hot picante sauce
cucumber sour cream,1,1,1.827e-05,1.0,cucumber sour cream
ounce salmon fillets with skin,1,1,1.827e-05,1.0,ounce salmon fillets with skin
very thinly low sodium deli roast beef,1,1,1.827e-05,1.0,very thinly low sodium deli roast beef
salt free onion and herb seasoning blend,1,1,1.827e-05,1.0,salt free onion and herb seasoning blend
inch thick slices of french bread or baguette,1,1,1.827e-05,1.0,inch thick slices of french bread or baguette
spicy habanero chicken sausages,1,1,1.827e-05,1.0,spicy habanero chicken sausages
ground parmigiano reggiano,1,1,1.827e-05,1.0,ground parmigiano reggiano
c tomato paste,1,1,1.827e-05,1.0,c tomato paste
tbl butter,1,1,1.827e-05,1.0,tbl butter
vanilla bean 1 tsp vanilla extract or paste,1,1,1.827e-05,1.0,vanilla bean 1 tsp vanilla extract or paste
pure cream or light cream,1,1,1.827e-05,1.0,pure cream or light cream
thick slices of brioche loaf,1,1,1.827e-05,1.0,thick slices of brioche loaf
tsps caster sugar,1,1,1.827e-05,1.0,tsps caster sugar
packet 7g of yeast,1,1,1.827e-05,1.0,packet 7g of yeast
extra egg for egg wash,1,1,1.827e-05,1.0,extra egg for egg wash
additional thyme,1,1,1.827e-05,1.0,additional thyme
cream or greek yoghurt,1,1,1.827e-05,1.0,cream or greek yoghurt
cm stick cassia bark,1,1,1.827e-05,1.0,cm stick cassia bark
ripe red tomatoes 400g tin plum tomatoes,1,1,1.827e-05,1.0,ripe red tomatoes 400g tin plum tomatoes
chinese cinnamon,1,1,1.827e-05,1.0,chinese cinnamon
wish bone house italian dressing,1,1,1.827e-05,1.0,wish bone house italian dressing
valencia rice or other short grain rice,1,1,1.827e-05,1.0,valencia rice or other short grain rice
bijol seasoning,1,1,1.827e-05,1.0,bijol seasoning
or 4 large,1,1,1.827e-05,1.0,or 4 large
thick slices of eggplant,1,1,1.827e-05,1.0,thick slices of eggplant
a little flat leafed parsley,1,1,1.827e-05,1.0,a little flat leafed parsley
hot water for soaking the cashews or about 125 ml hot water,1,1,1.827e-05,1.0,hot water for soaking the cashews or about 125 ml hot water
mehl und mehl fur die arbeitsflache,1,1,1.827e-05,1.0,mehl und mehl fur die arbeitsflache
rasam powder,1,1,1.827e-05,1.0,rasam powder
from 2 sprigs rosemary,1,1,1.827e-05,1.0,from 2 sprigs rosemary
beef bottom round roast or other lean roast,1,1,1.827e-05,1.0,beef bottom round roast or other lean roast
and deveined small shrimp,1,1,1.827e-05,1.0,and deveined small shrimp
eastern carolina pulled pork sauce,1,1,1.827e-05,1.0,eastern carolina pulled pork sauce
white or crimini mushrooms,1,1,1.827e-05,1.0,white or crimini mushrooms
marsala wine or chicken broth,1,1,1.827e-05,1.0,marsala wine or chicken broth
thinly white cabbage,1,1,1.827e-05,1.0,thinly white cabbage
tomato sauce or ketchup,1,1,1.827e-05,1.0,tomato sauce or ketchup
meat loaf mix,1,1,1.827e-05,1.0,meat loaf mix
poi,1,1,1.827e-05,1.0,poi
2 4 branches rosemary,1,1,1.827e-05,1.0,2 4 branches rosemary
really good extra virgin olive oil,1,1,1.827e-05,1.0,really good extra virgin olive oil
white bean dip,1,1,1.827e-05,1.0,white bean dip
kumquats or 1 small tangerine,1,1,1.827e-05,1.0,kumquats or 1 small tangerine
mixed olives in brine,1,1,1.827e-05,1.0,mixed olives in brine
drain olives reserving a few tablespoons of brine in a small bowl,1,1,1.827e-05,1.0,drain olives reserving a few tablespoons of brine in a small bowl
tbs white balsamic vinegar,1,1,1.827e-05,1.0,tbs white balsamic vinegar
inch cubes yukon gold potatoes,1,1,1.827e-05,1.0,inch cubes yukon gold potatoes
about 3 4 cup butter or margarine,1,1,1.827e-05,1.0,about 3 4 cup butter or margarine
each jalapeno pepper,1,1,1.827e-05,1.0,each jalapeno pepper
bushs black beans,1,1,1.827e-05,1.0,bushs black beans
thick seedless cucumbers,1,1,1.827e-05,1.0,thick seedless cucumbers
ozs garbanzo beans,1,1,1.827e-05,1.0,ozs garbanzo beans
gr jumbo shrimp,1,1,1.827e-05,1.0,gr jumbo shrimp
gr monkfish,1,1,1.827e-05,1.0,gr monkfish
canned roasted green chiles,1,1,1.827e-05,1.0,canned roasted green chiles
sprouted corn tortillas,1,1,1.827e-05,1.0,sprouted corn tortillas
a dash of cumin,1,1,1.827e-05,1.0,a dash of cumin
a sprinkle of cilantro,1,1,1.827e-05,1.0,a sprinkle of cilantro
pickled jalapeno chile slices,1,1,1.827e-05,1.0,pickled jalapeno chile slices
kaiser or other sandwich rolls,1,1,1.827e-05,1.0,kaiser or other sandwich rolls
juice of 2 to 3 small lemons,1,1,1.827e-05,1.0,juice of 2 to 3 small lemons
x 400g tin,1,1,1.827e-05,1.0,x 400g tin
tomato to serve,1,1,1.827e-05,1.0,tomato to serve
t chilli flakes or one red chilli,1,1,1.827e-05,1.0,t chilli flakes or one red chilli
a squeeze of lime juice,1,1,1.827e-05,1.0,a squeeze of lime juice
scant 1 4 cup mint,1,1,1.827e-05,1.0,scant 1 4 cup mint
spinach noodles,1,1,1.827e-05,1.0,spinach noodles
shoyu or soy sauce,1,1,1.827e-05,1.0,shoyu or soy sauce
assorted potatoes,1,1,1.827e-05,1.0,assorted potatoes
shiitake mushroom caps or chinese mushroom caps,1,1,1.827e-05,1.0,shiitake mushroom caps or chinese mushroom caps
handfuls of bean sprouts,1,1,1.827e-05,1.0,handfuls of bean sprouts
steamer clams,1,1,1.827e-05,1.0,steamer clams
ears shucked corn,1,1,1.827e-05,1.0,ears shucked corn
quart shiitake mushrooms,1,1,1.827e-05,1.0,quart shiitake mushrooms
shiitake chips,1,1,1.827e-05,1.0,shiitake chips
wan ja shan soy sauce,1,1,1.827e-05,1.0,wan ja shan soy sauce
fatty bacon,1,1,1.827e-05,1.0,fatty bacon
plus 1 1 2 cups all purpose flour,1,1,1.827e-05,1.0,plus 1 1 2 cups all purpose flour
carrot plus 6 medium carrots,1,1,1.827e-05,1.0,carrot plus 6 medium carrots
meaty oxtail pieces,1,1,1.827e-05,1.0,meaty oxtail pieces
apple smoked bacon slices,1,1,1.827e-05,1.0,apple smoked bacon slices
tl zitronensaft,1,1,1.827e-05,1.0,tl zitronensaft
cranberry size tamarind,1,1,1.827e-05,1.0,cranberry size tamarind
sized yellow cucumber,1,1,1.827e-05,1.0,sized yellow cucumber
a generous pinch of asafoetida,1,1,1.827e-05,1.0,a generous pinch of asafoetida
miced garlic,1,1,1.827e-05,1.0,miced garlic
quick cooking white grits,1,1,1.827e-05,1.0,quick cooking white grits
center cut sugar cured country ham,1,1,1.827e-05,1.0,center cut sugar cured country ham
ounce chicken bouillon cubes,1,1,1.827e-05,1.0,ounce chicken bouillon cubes
louisiana style cajun seasoning,1,1,1.827e-05,1.0,louisiana style cajun seasoning
lemon thyme leaves,1,1,1.827e-05,1.0,lemon thyme leaves
sweet green peas,1,1,1.827e-05,1.0,sweet green peas
roasted almond oil,1,1,1.827e-05,1.0,roasted almond oil
box linguini pasta,1,1,1.827e-05,1.0,box linguini pasta
old bay seafood seasoning,1,1,1.827e-05,1.0,old bay seafood seasoning
rice flour or corn flour,1,1,1.827e-05,1.0,rice flour or corn flour
water 2 3 tbsp or as required,1,1,1.827e-05,1.0,water 2 3 tbsp or as required
hot green chillies,1,1,1.827e-05,1.0,hot green chillies
thick curds,1,1,1.827e-05,1.0,thick curds
chipotles and adobo sauce,1,1,1.827e-05,1.0,chipotles and adobo sauce
orange roughy or catfish fillets,1,1,1.827e-05,1.0,orange roughy or catfish fillets
or whole kernel corn,1,1,1.827e-05,1.0,or whole kernel corn
refrigerated prechopped onion,1,1,1.827e-05,1.0,refrigerated prechopped onion
bread from a small artisan loaf,1,1,1.827e-05,1.0,bread from a small artisan loaf
pints peach sorbet,1,1,1.827e-05,1.0,pints peach sorbet
dale s steak seasoning,1,1,1.827e-05,1.0,dale s steak seasoning
ounce bag spicy pita chips,1,1,1.827e-05,1.0,ounce bag spicy pita chips
vegetable spray oil,1,1,1.827e-05,1.0,vegetable spray oil
double strength coffee or espresso,1,1,1.827e-05,1.0,double strength coffee or espresso
plus 1 tablespoon cornstarch,1,1,1.827e-05,1.0,plus 1 tablespoon cornstarch
recipe custard base,1,1,1.827e-05,1.0,recipe custard base
plain chocolate of your choice,1,1,1.827e-05,1.0,plain chocolate of your choice
plain or chocolate covered coffee beans,1,1,1.827e-05,1.0,plain or chocolate covered coffee beans
freshly brewed hot espresso see note for substitution,1,1,1.827e-05,1.0,freshly brewed hot espresso see note for substitution
about 24 crisp ladyfinger,1,1,1.827e-05,1.0,about 24 crisp ladyfinger
chinese style hot mustard,1,1,1.827e-05,1.0,chinese style hot mustard
thinly iceberg lettuce dressed with vinegar and salt,1,1,1.827e-05,1.0,thinly iceberg lettuce dressed with vinegar and salt
cumin and or chili powder for extra heat,1,1,1.827e-05,1.0,cumin and or chili powder for extra heat
b ground turkey,1,1,1.827e-05,1.0,b ground turkey
old el pasotm green chilies,1,1,1.827e-05,1.0,old el pasotm green chilies
old el pasotm stand n stufftm soft tortillas,1,1,1.827e-05,1.0,old el pasotm stand n stufftm soft tortillas
very thinly deli roast beef,1,1,1.827e-05,1.0,very thinly deli roast beef
cranberry raspberry fruit,1,1,1.827e-05,1.0,cranberry raspberry fruit
unsliced loaf french bread,1,1,1.827e-05,1.0,unsliced loaf french bread
dill plus 1 2 cup fronds,1,1,1.827e-05,1.0,dill plus 1 2 cup fronds
cream or milk,1,1,1.827e-05,1.0,cream or milk
i pint cherry tomatoes,1,1,1.827e-05,1.0,i pint cherry tomatoes
to 4 5 ounce caramel filled milk chocolate bars or cappuccino filled milk chocolate bars,1,1,1.827e-05,1.0,to 4 5 ounce caramel filled milk chocolate bars or cappuccino filled milk chocolate bars
ham bone end,1,1,1.827e-05,1.0,ham bone end
recipe basic white rice,1,1,1.827e-05,1.0,recipe basic white rice
sweet bermuda onion,1,1,1.827e-05,1.0,sweet bermuda onion
ground roasted coffee beans,1,1,1.827e-05,1.0,ground roasted coffee beans
coffee caramel sauce,1,1,1.827e-05,1.0,coffee caramel sauce
green garlic stems,1,1,1.827e-05,1.0,green garlic stems
english peas in the pod,1,1,1.827e-05,1.0,english peas in the pod
or low sodium chicken stock or broth,1,1,1.827e-05,1.0,or low sodium chicken stock or broth
mccormick parsley flakes,1,1,1.827e-05,1.0,mccormick parsley flakes
chili lime seasoning,1,1,1.827e-05,1.0,chili lime seasoning
choice or prime porterhouse steak,1,1,1.827e-05,1.0,choice or prime porterhouse steak
moist,1,1,1.827e-05,1.0,moist
tuscan olive oil,1,1,1.827e-05,1.0,tuscan olive oil
ripe comice or bartlett pears,1,1,1.827e-05,1.0,ripe comice or bartlett pears
vanilla custard sauce,1,1,1.827e-05,1.0,vanilla custard sauce
chantilly cream,1,1,1.827e-05,1.0,chantilly cream
snickers,1,1,1.827e-05,1.0,snickers
sugar or,1,1,1.827e-05,1.0,sugar or
membrillo,1,1,1.827e-05,1.0,membrillo
roma or plum tomatoes or whatever you have from your garden,1,1,1.827e-05,1.0,roma or plum tomatoes or whatever you have from your garden
basil leaves 10 leaves or so,1,1,1.827e-05,1.0,basil leaves 10 leaves or so
prechopped romaine lettuce,1,1,1.827e-05,1.0,prechopped romaine lettuce
precooked hard eggs,1,1,1.827e-05,1.0,precooked hard eggs
confectioners sugar for rolling cookies,1,1,1.827e-05,1.0,confectioners sugar for rolling cookies
sourdough bread baguette,1,1,1.827e-05,1.0,sourdough bread baguette
red snapper fillet,1,1,1.827e-05,1.0,red snapper fillet
each pitted green and black olives,1,1,1.827e-05,1.0,each pitted green and black olives
round peasant bread,1,1,1.827e-05,1.0,round peasant bread
each thinly genoa salami and mortadella,1,1,1.827e-05,1.0,each thinly genoa salami and mortadella
to serve salsa,1,1,1.827e-05,1.0,to serve salsa
raisin bread,1,1,1.827e-05,1.0,raisin bread
containers organic vegetable broth,1,1,1.827e-05,1.0,containers organic vegetable broth
pasilla negro chiles,1,1,1.827e-05,1.0,pasilla negro chiles
mild new mexico chiles,1,1,1.827e-05,1.0,mild new mexico chiles
and 1 2 cups to 2 cups basil pesto,1,1,1.827e-05,1.0,and 1 2 cups to 2 cups basil pesto
fully smoked beef sausage,1,1,1.827e-05,1.0,fully smoked beef sausage
marzipan or almond paste,1,1,1.827e-05,1.0,marzipan or almond paste
wild or regular blueberries or 32 ounces wild or regular blueberries,1,1,1.827e-05,1.0,wild or regular blueberries or 32 ounces wild or regular blueberries
best ever pie crust dough disks,1,1,1.827e-05,1.0,best ever pie crust dough disks
sleeves saltine crackers,1,1,1.827e-05,1.0,sleeves saltine crackers
shucked medium to large oysters,1,1,1.827e-05,1.0,shucked medium to large oysters
fat free raspberry vinaigrette,1,1,1.827e-05,1.0,fat free raspberry vinaigrette
peanut or olive oil,1,1,1.827e-05,1.0,peanut or olive oil
white wine or rice vinegar,1,1,1.827e-05,1.0,white wine or rice vinegar
about 1 2 cup basil leaves,1,1,1.827e-05,1.0,about 1 2 cup basil leaves
olive oil anchovy fillets,1,1,1.827e-05,1.0,olive oil anchovy fillets
tbs salt capers,1,1,1.827e-05,1.0,tbs salt capers
gaeta or kalamata olives,1,1,1.827e-05,1.0,gaeta or kalamata olives
cherry or grape tomatoes or mixed heirloom tomatoes,1,1,1.827e-05,1.0,cherry or grape tomatoes or mixed heirloom tomatoes
conchiglie or other short pasta,1,1,1.827e-05,1.0,conchiglie or other short pasta
bony mediterranean coastal fish,1,1,1.827e-05,1.0,bony mediterranean coastal fish
zest of half an orange,1,1,1.827e-05,1.0,zest of half an orange
plus 2 tablespoons chilled butter,1,1,1.827e-05,1.0,plus 2 tablespoons chilled butter
country dijon,1,1,1.827e-05,1.0,country dijon
date,1,1,1.827e-05,1.0,date
whipped cream vodka,1,1,1.827e-05,1.0,whipped cream vodka
golden grahams cereal,1,1,1.827e-05,1.0,golden grahams cereal
ricotta gnocchetti,1,1,1.827e-05,1.0,ricotta gnocchetti
tomato butter sauce,1,1,1.827e-05,1.0,tomato butter sauce
home style or country white bread,1,1,1.827e-05,1.0,home style or country white bread
plus additional mayonnaise,1,1,1.827e-05,1.0,plus additional mayonnaise
jars spaghetti or marinara sauce,1,1,1.827e-05,1.0,jars spaghetti or marinara sauce
white bread dough,1,1,1.827e-05,1.0,white bread dough
well bred roasting chicken,1,1,1.827e-05,1.0,well bred roasting chicken
naan breads,1,1,1.827e-05,1.0,naan breads
lightly baby arugula,1,1,1.827e-05,1.0,lightly baby arugula
italian turkey sausages,1,1,1.827e-05,1.0,italian turkey sausages
hot breakfast sausage,1,1,1.827e-05,1.0,hot breakfast sausage
salt based cajun or creole seasoning,1,1,1.827e-05,1.0,salt based cajun or creole seasoning
es tabasco sauce,1,1,1.827e-05,1.0,es tabasco sauce
delallo organic whole wheat penne rigate,1,1,1.827e-05,1.0,delallo organic whole wheat penne rigate
jar delallo pomodoro fresco marinara,1,1,1.827e-05,1.0,jar delallo pomodoro fresco marinara
delallo black olives,1,1,1.827e-05,1.0,delallo black olives
usli ghee,1,1,1.827e-05,1.0,usli ghee
paneer or firm or extra firm tofu,1,1,1.827e-05,1.0,paneer or firm or extra firm tofu
shelled peas or 1 1 2 cups peas,1,1,1.827e-05,1.0,shelled peas or 1 1 2 cups peas
shelled roasted pumpkin seeds,1,1,1.827e-05,1.0,shelled roasted pumpkin seeds
skin on sockeye salmon fillets,1,1,1.827e-05,1.0,skin on sockeye salmon fillets
size fennel bulb,1,1,1.827e-05,1.0,size fennel bulb
from 1 large bunch basil,1,1,1.827e-05,1.0,from 1 large bunch basil
wide slices ciabatta bread,1,1,1.827e-05,1.0,wide slices ciabatta bread
challah or brioche bread,1,1,1.827e-05,1.0,challah or brioche bread
indian eggplant pickle,1,1,1.827e-05,1.0,indian eggplant pickle
lime wedges and extra pickles or chutneys,1,1,1.827e-05,1.0,lime wedges and extra pickles or chutneys
es the bitter truth orange bitters,1,1,1.827e-05,1.0,es the bitter truth orange bitters
75 oz noilly prat original dry vermouth,1,1,1.827e-05,1.0,75 oz noilly prat original dry vermouth
75 oz martini and rossi rosso vermouth,1,1,1.827e-05,1.0,75 oz martini and rossi rosso vermouth
tanqueray gin,1,1,1.827e-05,1.0,tanqueray gin
arrow root,1,1,1.827e-05,1.0,arrow root
ounce bag petite white corn,1,1,1.827e-05,1.0,ounce bag petite white corn
salsa cruda,1,1,1.827e-05,1.0,salsa cruda
garnishes lady apples,1,1,1.827e-05,1.0,garnishes lady apples
pint sorbet,1,1,1.827e-05,1.0,pint sorbet
snipped thyme,1,1,1.827e-05,1.0,snipped thyme
recipe grilled polenta,1,1,1.827e-05,1.0,recipe grilled polenta
couple pinches of salt,1,1,1.827e-05,1.0,couple pinches of salt
casa chimayo red chile pods,1,1,1.827e-05,1.0,casa chimayo red chile pods
torn romaine and hearty field greens,1,1,1.827e-05,1.0,torn romaine and hearty field greens
ragu old world style marinara,1,1,1.827e-05,1.0,ragu old world style marinara
of baby spinach,1,1,1.827e-05,1.0,of baby spinach
skin and juice of 2 lemons,1,1,1.827e-05,1.0,skin and juice of 2 lemons
elderflower heads,1,1,1.827e-05,1.0,elderflower heads
stale baguette,1,1,1.827e-05,1.0,stale baguette
skinny rice stick noodles,1,1,1.827e-05,1.0,skinny rice stick noodles
gr strong flour,1,1,1.827e-05,1.0,gr strong flour
gr bread flour,1,1,1.827e-05,1.0,gr bread flour
gin or vodka,1,1,1.827e-05,1.0,gin or vodka
ripe kellogg s breakfast or similar tomatoes,1,1,1.827e-05,1.0,ripe kellogg s breakfast or similar tomatoes
yellow and green wax beans,1,1,1.827e-05,1.0,yellow and green wax beans
turkey breast half,1,1,1.827e-05,1.0,turkey breast half
planters peanut butter,1,1,1.827e-05,1.0,planters peanut butter
toppings onion,1,1,1.827e-05,1.0,toppings onion
oak or hickory wood chips,1,1,1.827e-05,1.0,oak or hickory wood chips
flat cut brisket,1,1,1.827e-05,1.0,flat cut brisket
rindergulasch,1,1,1.827e-05,1.0,rindergulasch
dose kidney bohnen,1,1,1.827e-05,1.0,dose kidney bohnen
grune paprikaschoten,1,1,1.827e-05,1.0,grune paprikaschoten
dose gemusemais,1,1,1.827e-05,1.0,dose gemusemais
thighs,1,1,1.827e-05,1.0,thighs
garlic salt and pepper,1,1,1.827e-05,1.0,garlic salt and pepper
simply organic sea salt and simply organic ground black pepper,1,1,1.827e-05,1.0,simply organic sea salt and simply organic ground black pepper
simply organic ground sage,1,1,1.827e-05,1.0,simply organic ground sage
gallon chicken broth,1,1,1.827e-05,1.0,gallon chicken broth
simply organic thyme,1,1,1.827e-05,1.0,simply organic thyme
simply organic parsley flakes,1,1,1.827e-05,1.0,simply organic parsley flakes
portobello mushrooms or about 10 crimini mushrooms,1,1,1.827e-05,1.0,portobello mushrooms or about 10 crimini mushrooms
shelled or green peas,1,1,1.827e-05,1.0,shelled or green peas
toasted husked hazelnuts,1,1,1.827e-05,1.0,toasted husked hazelnuts
loaf unsliced egg bread,1,1,1.827e-05,1.0,loaf unsliced egg bread
lb cod fillet,1,1,1.827e-05,1.0,lb cod fillet
active dry yeast dissolved in 2 tablespoons of water,1,1,1.827e-05,1.0,active dry yeast dissolved in 2 tablespoons of water
gourmet mushroom mix,1,1,1.827e-05,1.0,gourmet mushroom mix
thinly slivered shallots,1,1,1.827e-05,1.0,thinly slivered shallots
or 2 stalks lemon grass or 1 tablespoon lemon peel,1,1,1.827e-05,1.0,or 2 stalks lemon grass or 1 tablespoon lemon peel
thai roasted chili paste,1,1,1.827e-05,1.0,thai roasted chili paste
asian fish sauce or salt,1,1,1.827e-05,1.0,asian fish sauce or salt
or kaffir lime leaf sections or 1 tablespoon lime peel,1,1,1.827e-05,1.0,or kaffir lime leaf sections or 1 tablespoon lime peel
pillsburytm refrigerated garlic butter crescent dinner rolls,1,1,1.827e-05,1.0,pillsburytm refrigerated garlic butter crescent dinner rolls
red onion instead of the green onion,1,1,1.827e-05,1.0,red onion instead of the green onion
jalapeno or red bell pepper,1,1,1.827e-05,1.0,jalapeno or red bell pepper
avocado mango cucumber salsa,1,1,1.827e-05,1.0,avocado mango cucumber salsa
chipotle or chile powder,1,1,1.827e-05,1.0,chipotle or chile powder
