left,right,support_left,support_right,cooccurrence,p_right_given_left,p_left_given_right,jaccard,lift
coarse salt,pork,1126,1109,18,0.01598579,0.01623084,0.00811908,0.87280398
coconut milk,plum tomatoes,1735,701,18,0.01037464,0.0256776,0.00744417,0.89612616
coconut milk,vanilla,1735,1041,18,0.01037464,0.01729107,0.00652647,0.60344326
coconut oil,coriander powder,870,666,18,0.02068966,0.02702703,0.01185771,1.88101895
coconut oil,potato,870,1260,18,0.02068966,0.01428571,0.00852273,0.99425287
cold water,egg whites,513,1346,18,0.03508772,0.01337296,0.00977729,1.57842601
cold water,garlic powder,513,2686,18,0.03508772,0.00670141,0.0056586,0.79097595
cold water,lemon,513,2264,18,0.03508772,0.00795053,0.0065241,0.93841051
cold water,lime,513,3146,18,0.03508772,0.00572155,0.0049437,0.67532149
cold water,milk,513,3433,18,0.03508772,0.00524323,0.00458248,0.61886438
cold water,parsley,513,3492,18,0.03508772,0.00515464,0.00451467,0.60840819
cooking oil,hoisin sauce,516,705,18,0.03488372,0.02553191,0.01496259,2.99604156
cooking spray,thyme leaves,2025,527,18,0.00888889,0.0341556,0.00710339,1.02129454
coriander,corn,1151,896,18,0.01563858,0.02008929,0.00887137,1.05682559
coriander,milk,1151,3433,18,0.01563858,0.00524323,0.00394218,0.27582748
coriander,salt and pepper,1151,1470,18,0.01563858,0.0122449,0.0069151,0.64416036
coriander seeds,jalapeno chilies,625,1861,18,0.0288,0.00967222,0.00729335,0.9370446
coriander seeds,oregano,625,4074,18,0.0288,0.00441826,0.00384533,0.42804124
coriander seeds,rice,625,1164,18,0.0288,0.01546392,0.01016375,1.49814433
corn kernels,red pepper,535,1751,18,0.03364486,0.01027984,0.00793651,1.16344732
corn starch,ground coriander,2573,1319,18,0.00699572,0.0136467,0.00464636,0.32114567
corn tortillas,low sodium chicken broth,1253,654,18,0.01436552,0.02752294,0.00952885,1.33001896
corn tortillas,orange,1253,476,18,0.01436552,0.03781513,0.01052016,1.827379
cucumber,hot sauce,1907,739,18,0.00943891,0.02435724,0.00684932,0.77337748
cucumber,sweet onion,1907,594,18,0.00943891,0.03030303,0.0072493,0.96216491
cumin seed,soy sauce,1361,5367,18,0.01322557,0.00335383,0.00268256,0.14920966
curry leaves,lime juice,609,3816,18,0.02955665,0.00471698,0.00408441,0.4689872
curry leaves,peanuts,609,1024,18,0.02955665,0.01757812,0.01114551,1.74771013
curry powder,ghee,1003,559,18,0.01794616,0.03220036,0.01165803,1.94389996
curry powder,green beans,1003,781,18,0.01794616,0.02304738,0.01019253,1.39134453
curry powder,tomato sauce,1003,1168,18,0.01794616,0.01541096,0.00836043,0.93034253
dark soy sauce,granulated sugar,622,1732,18,0.02893891,0.01039261,0.00770548,1.01169215
dark soy sauce,lime,622,3146,18,0.02893891,0.00572155,0.0048,0.55697737
dijon mustard,pecans,1746,534,18,0.01030928,0.03370787,0.00795756,1.16896405
dijon mustard,potato,1746,1260,18,0.01030928,0.01428571,0.0060241,0.4954181
dijon mustard,whole milk,1746,1012,18,0.01030928,0.01778656,0.00656934,0.61682491
dill,plain yogurt,879,560,18,0.02047782,0.03214286,0.01266714,2.21416382
dill,salt and pepper,879,1470,18,0.02047782,0.0122449,0.00772201,0.84349098
dry white wine,milk,1165,3433,18,0.01545064,0.00524323,0.00393013,0.27251281
dry white wine,panko breadcrumbs,1165,2274,18,0.01545064,0.00791557,0.00526162,0.41140566
dry white wine,soy sauce,1165,5367,18,0.01545064,0.00335383,0.00276328,0.17431274
dry white wine,tomato sauce,1165,1168,18,0.01545064,0.01541096,0.00777538,0.80097301
egg whites,nutmeg,1346,649,18,0.01337296,0.02773498,0.0091047,1.24766185
eggplant,green bell pepper,551,1301,18,0.03266788,0.01383551,0.00981461,1.52039964
eggplant,potato,551,1260,18,0.03266788,0.01428571,0.01003904,1.56987296
fennel seeds,garlic powder,571,2686,18,0.03152364,0.00670141,0.00555727,0.71063163
fish sauce,warm water,2182,681,18,0.00824931,0.02643172,0.00632689,0.73347412
flat leaf parsley,mint leaves,1635,550,18,0.01100917,0.03272727,0.00830641,1.21201001
garam masala,roma tomatoes,2179,594,18,0.00826067,0.03030303,0.00653358,0.84205988
garlic powder,white wine,2686,609,18,0.00670141,0.02955665,0.00549283,0.66629009
ghee,shallots,559,2528,18,0.03220036,0.00712025,0.0058651,0.77125461
ginger root,lemongrass,608,645,18,0.02960526,0.02790698,0.0145749,2.77922277
greek yogurt,lettuce,1697,611,18,0.01060695,0.0294599,0.00786026,1.05114735
greek yogurt,rice,1697,1164,18,0.01060695,0.01546392,0.00633134,0.55176205
greek yogurt,sour cream,1697,2201,18,0.01060695,0.0081781,0.00463918,0.29179965
greek yogurt,white onion,1697,1149,18,0.01060695,0.0156658,0.00636492,0.55896521
greek yogurt,white vinegar,1697,557,18,0.01060695,0.03231598,0.00805009,1.15305392
green beans,lemongrass,781,645,18,0.02304738,0.02790698,0.01278409,2.16359468
green beans,paprika,781,1778,18,0.02304738,0.01012373,0.00708383,0.78488108
green beans,smoked paprika,781,961,18,0.02304738,0.01873049,0.01044084,1.45215251
green chilies,mango,1520,531,18,0.01184211,0.03389831,0.00885391,1.35035682
green chilies,pasta,1520,2765,18,0.01184211,0.00650995,0.00421842,0.25932712
green chilies,peanut oil,1520,930,18,0.01184211,0.01935484,0.00740132,0.77101019
green chilies,sesame oil,1520,2978,18,0.01184211,0.00604433,0.00401786,0.24077887
green chilies,shrimp,1520,1739,18,0.01184211,0.01035078,0.00555384,0.41232862
green onion,ground nutmeg,8103,631,18,0.0022214,0.02852615,0.00206517,0.21316282
green pepper,smoked paprika,546,961,18,0.03296703,0.01873049,0.01208865,2.07716321
green pepper,spanish onion,546,603,18,0.03296703,0.02985075,0.01591512,3.31037122
ground cinnamon,lemon zest,1606,808,18,0.01120797,0.02227723,0.00751252,0.8399042
ground cinnamon,orange,1606,476,18,0.01120797,0.03781513,0.00872093,1.42571973
ground cinnamon,plum tomatoes,1606,701,18,0.01120797,0.0256776,0.0078637,0.96810641
ground cinnamon,shallots,1606,2528,18,0.01120797,0.00712025,0.00437318,0.26845039
ground coriander,ground nutmeg,1319,631,18,0.0136467,0.02852615,0.00931677,1.30952109
ground cumin,rice vinegar,4111,2142,18,0.0043785,0.00840336,0.00288693,0.12377123
ground cumin,spring onions,4111,752,18,0.0043785,0.02393617,0.00371517,0.3525505
ground turmeric,zucchini,1864,1537,18,0.00965665,0.01171113,0.00532072,0.3804231
hoisin sauce,shallots,705,2528,18,0.02553191,0.00712025,0.00559876,0.6115338
hoisin sauce,warm water,705,681,18,0.02553191,0.02643172,0.01315789,2.27012841
hot sauce,red onion,739,1162,18,0.02435724,0.01549053,0.00955921,1.2692176
hot sauce,red pepper flakes,739,2319,18,0.02435724,0.00776197,0.00592105,0.63597708
jalapeno chilies,low sodium soy sauce,1861,730,18,0.00967222,0.02465753,0.00699572,0.80226421
jalapeno chilies,worcestershire sauce,1861,1109,18,0.00967222,0.01623084,0.00609756,0.52809096
ketchup,mushroom,858,1247,18,0.02097902,0.01443464,0.00862482,1.01866858
ketchup,potato,858,1260,18,0.02097902,0.01428571,0.00857143,1.00815851
ketchup,tomato sauce,858,1168,18,0.02097902,0.01541096,0.00896414,1.08756825
ketchup,white onion,858,1149,18,0.02097902,0.0156658,0.00904977,1.10555241
lemon,maple syrup,2264,776,18,0.00795053,0.02319588,0.00595632,0.62036674
lemon,plum tomatoes,2264,701,18,0.00795053,0.0256776,0.00610791,0.68673979
lemon juice,mirin,4935,1013,18,0.00364742,0.017769,0.00303541,0.21801684
lemon zest,red bell pepper,808,2893,18,0.02227723,0.00622191,0.00488732,0.4662586
lemon zest,soy sauce,808,5367,18,0.02227723,0.00335383,0.0029235,0.25132963
lettuce,mint,611,1236,18,0.0294599,0.01456311,0.00984144,1.4432015
lettuce,smoked paprika,611,961,18,0.0294599,0.01873049,0.01158301,1.8561884
light brown sugar,mirin,751,1013,18,0.02396804,0.017769,0.01030928,1.43264065
light soy sauce,peas,784,961,18,0.02295918,0.01873049,0.0104227,1.44659581
light soy sauce,sauce,784,558,18,0.02295918,0.03225806,0.01359517,2.49135945
light soy sauce,white sugar,784,894,18,0.02295918,0.02013423,0.01084337,1.55500959
light soy sauce,yellow onion,784,2303,18,0.02295918,0.00781589,0.0058651,0.60363811
low sodium chicken broth,tomato sauce,654,1168,18,0.02752294,0.01541096,0.00997783,1.42680973
low sodium soy sauce,mint,730,1236,18,0.02465753,0.01456311,0.00924025,1.20793989
mango,shrimp,531,1739,18,0.03389831,0.01035078,0.0079929,1.18030039
maple syrup,peanuts,776,1024,18,0.02319588,0.01757812,0.01010101,1.3715921
maple syrup,purple onion,776,2637,18,0.02319588,0.00682594,0.00530191,0.53261673
mayonnaise,mirin,1751,1013,18,0.01027984,0.017769,0.00655499,0.61445638
mint leaves,red bell pepper,550,2893,18,0.03272727,0.00622191,0.00525547,0.68497628
mint leaves,red pepper flakes,550,2319,18,0.03272727,0.00776197,0.00631357,0.85452193
mustard seeds,peanuts,583,1024,18,0.03087479,0.01757812,0.01132788,1.82565261
mustard seeds,spinach,583,1122,18,0.03087479,0.01604278,0.01066983,1.66619275
mustard seeds,tomato paste,583,1708,18,0.03087479,0.01053864,0.00791905,1.09453646
nutmeg,plain greek yogurt,649,1166,18,0.02773498,0.01543739,0.01001669,1.44026831
nutmeg,purple onion,649,2637,18,0.02773498,0.00682594,0.00550796,0.63684219
nutmeg,tomato paste,649,1708,18,0.02773498,0.01053864,0.0076956,0.98322766
oil,vanilla,3310,1041,18,0.00543807,0.01729107,0.00415417,0.31630636
oil,vanilla extract,3310,2397,18,0.00543807,0.00750939,0.003164,0.1373696
onion,walnuts,12300,495,18,0.00146341,0.03636364,0.00140878,0.17900961
onion powder,romaine lettuce,1028,589,18,0.01750973,0.03056027,0.01125704,1.80002378
orange juice,vanilla,796,1041,18,0.02261307,0.01729107,0.00989555,1.31529405
oregano,sweet potatoes,4074,659,18,0.00441826,0.02731411,0.0038176,0.40595717
oregano,turmeric,4074,1222,18,0.00441826,0.01472995,0.00341038,0.21892453
oyster sauce,worcestershire sauce,891,1109,18,0.02020202,0.01623084,0.00908174,1.1030048
panko breadcrumbs,pecans,2274,534,18,0.00791557,0.03370787,0.00645161,0.89754232
paprika,peanut oil,1778,930,18,0.01012373,0.01935484,0.00669145,0.65913132
paprika,thyme leaves,1778,527,18,0.01012373,0.0341556,0.00787057,1.16317291
parsley,walnuts,3492,495,18,0.00515464,0.03636364,0.00453515,0.63053213
peanut butter,peanut oil,499,930,18,0.03607214,0.01935484,0.01275691,2.3485681
peanut oil,vegetable oil,930,5198,18,0.01935484,0.00346287,0.00294599,0.22545892
peanuts,vanilla extract,1024,2397,18,0.01757812,0.00750939,0.00528945,0.44403649
peas,plum tomatoes,961,701,18,0.01873049,0.0256776,0.01094891,1.61787605
peas,spanish onion,961,603,18,0.01873049,0.02985075,0.01164295,1.88081445
plum tomatoes,rosemary,701,1055,18,0.0256776,0.01706161,0.01035673,1.47372406
plum tomatoes,smoked paprika,701,961,18,0.0256776,0.01873049,0.01094891,1.61787605
pork,potato,1109,1260,18,0.01623084,0.01428571,0.00765632,0.77998197
red bell pepper,thyme leaves,2893,527,18,0.00622191,0.0341556,0.00529101,0.71487088
red onion,tomato sauce,1162,1168,18,0.01549053,0.01541096,0.00778547,0.80304093
red onion,worcestershire sauce,1162,1109,18,0.01549053,0.01623084,0.00798935,0.84576358
red wine vinegar,shrimp,1419,1739,18,0.01268499,0.01035078,0.00573248,0.44167689
roma tomatoes,shrimp,594,1739,18,0.03030303,0.01035078,0.00777538,1.05511701
romaine lettuce,sriracha,589,929,18,0.03056027,0.01937567,0.012,1.99184548
romaine lettuce,yellow onion,589,2303,18,0.03056027,0.00781589,0.00626305,0.80348435
salsa,spinach,1352,1122,18,0.01331361,0.01604278,0.00732899,0.718484
sesame oil,sweet potatoes,2978,659,18,0.00604433,0.02731411,0.00497375,0.55536249
shallots,white onion,2528,1149,18,0.00712025,0.0156658,0.00491938,0.37522309
sour cream,soy sauce,2201,5367,18,0.0081781,0.00335383,0.00238411,0.09226458
spanish onion,tomato sauce,603,1168,18,0.02985075,0.01541096,0.01026811,1.54748518
sweet onion,vegetable broth,594,631,18,0.03030303,0.02852615,0.01491301,2.90784229
tomato paste,white vinegar,1708,557,18,0.01053864,0.03231598,0.00801068,1.14562792
tomato sauce,turmeric,1168,1222,18,0.01541096,0.01472995,0.00758853,0.76361175
tomato sauce,warm water,1168,681,18,0.01541096,0.02643172,0.00983069,1.37024018
white onion,white vinegar,1149,557,18,0.0156658,0.03231598,0.01066351,1.70298738
almonds,coriander powder,650,666,17,0.02615385,0.02552553,0.01308699,2.37780088
almonds,cucumber,650,1907,17,0.02615385,0.00891453,0.00669291,0.83042233
almonds,garlic paste,650,543,17,0.02615385,0.03130755,0.01445578,2.91641876
almonds,green chilies,650,1520,17,0.02615385,0.01118421,0.00789596,1.04185223
almonds,sesame seeds,650,997,17,0.02615385,0.01705115,0.01042945,1.58838053
apple cider vinegar,cabbage,578,592,17,0.02941176,0.02871622,0.01474415,3.00824722
apple cider vinegar,chicken broth,578,1942,17,0.02941176,0.00875386,0.00679185,0.9170352
apple cider vinegar,green bell pepper,578,1301,17,0.02941176,0.01306687,0.00912997,1.36885654
apple cider vinegar,ground ginger,578,890,17,0.02941176,0.01910112,0.01171606,2.00099141
apple cider vinegar,hot sauce,578,739,17,0.02941176,0.02300406,0.01307692,2.40985433
apple cider vinegar,panko breadcrumbs,578,2274,17,0.02941176,0.00747581,0.00599647,0.78314967
apple cider vinegar,peanuts,578,1024,17,0.02941176,0.01660156,0.01072555,1.73914292
apple cider vinegar,red onion,578,1162,17,0.02941176,0.01462995,0.00986651,1.53260099
apple cider vinegar,salt and pepper,578,1470,17,0.02941176,0.01156463,0.00837026,1.21148459
avocado,bay leaf,2466,1227,17,0.00689376,0.01385493,0.00462459,0.34019305
baby spinach,dill,630,879,17,0.02698413,0.01934016,0.0113941,1.8588042
baby spinach,lemon zest,630,808,17,0.02698413,0.0210396,0.01196341,2.02213971
baby spinach,plain greek yogurt,630,1166,17,0.02698413,0.01457976,0.00955593,1.40127692
baby spinach,quinoa,630,610,17,0.02698413,0.02786885,0.01390025,2.67850638
baby spinach,salt and pepper,630,1470,17,0.02698413,0.01156463,0.00816131,1.11148904
bacon,french bread,802,600,17,0.02119701,0.02833333,0.01227437,2.13913134
bacon,shrimp,802,1739,17,0.02119701,0.00977573,0.00673534,0.73805567
baking powder,chicken broth,1637,1942,17,0.01038485,0.00875386,0.0047726,0.32379129
baking powder,dark soy sauce,1637,622,17,0.01038485,0.02733119,0.00758252,1.0109368
baking powder,garam masala,1637,2179,17,0.01038485,0.00780174,0.00447486,0.28857397
baking powder,oyster sauce,1637,891,17,0.01038485,0.01907969,0.00677021,0.70572692
baking powder,paprika,1637,1778,17,0.01038485,0.0095613,0.00500294,0.3536573
baking soda,coarse salt,1065,1126,17,0.01596244,0.01509769,0.00781969,0.85837107
baking soda,rice vinegar,1065,2142,17,0.01596244,0.00793651,0.00532915,0.45122587
balsamic vinegar,canola oil,1017,1935,17,0.01671583,0.00878553,0.00579216,0.52307161
balsamic vinegar,cayenne pepper,1017,1890,17,0.01671583,0.00899471,0.00588235,0.53552569
balsamic vinegar,dry white wine,1017,1165,17,0.01671583,0.01459227,0.00785219,0.86879275
balsamic vinegar,maple syrup,1017,776,17,0.01671583,0.02190722,0.00957207,1.30430871
balsamic vinegar,onion powder,1017,1028,17,0.01671583,0.01653696,0.00838264,0.98457545
balsamic vinegar,strawberry,1017,603,17,0.01671583,0.02819237,0.01060512,1.67851337
balsamic vinegar,walnuts,1017,495,17,0.01671583,0.03434343,0.01137124,2.04473446
bananas,granulated sugar,530,1732,17,0.03207547,0.00981524,0.00757238,1.12134516
bananas,heavy cream,530,1729,17,0.03207547,0.00983227,0.00758252,1.12329081
basil,ground coriander,2827,1319,17,0.00601344,0.01288855,0.00411722,0.276053
basil leaves,black olives,1356,595,17,0.01253687,0.02857143,0.00879007,1.27581121
basil leaves,corn starch,1356,2573,17,0.01253687,0.00660707,0.0043456,0.29502824
basil leaves,peanut oil,1356,930,17,0.01253687,0.01827957,0.00749229,0.81624481
basil leaves,peanuts,1356,1024,17,0.01253687,0.01660156,0.00719424,0.74131608
basil leaves,sesame oil,1356,2978,17,0.01253687,0.00570853,0.00393792,0.25490519
basil leaves,walnuts,1356,495,17,0.01253687,0.03434343,0.00926936,1.53355085
bay leaf,egg yolks,1227,1025,17,0.01385493,0.01658537,0.00760626,0.81845469
bay leaf,eggplant,1227,551,17,0.01385493,0.03085299,0.00965361,1.52253368
bay leaves,bell pepper,1181,699,17,0.01439458,0.02432046,0.00912507,1.24691255
bay leaves,cider vinegar,1181,537,17,0.01439458,0.03165736,0.00999412,1.62307611
bay leaves,jalapeno chilies,1181,1861,17,0.01439458,0.00913487,0.00561983,0.46834598
bay leaves,lemon zest,1181,808,17,0.01439458,0.0210396,0.00862069,1.07870281
bay leaves,red onion,1181,1162,17,0.01439458,0.01462995,0.00730868,0.75007906
bay leaves,roma tomatoes,1181,594,17,0.01439458,0.02861953,0.00967008,1.46732638
bay leaves,white wine vinegar,1181,665,17,0.01439458,0.02556391,0.0092947,1.31066447
beansprouts,curry powder,637,1003,17,0.0266876,0.01694915,0.01047443,1.61110076
beansprouts,romaine lettuce,637,589,17,0.0266876,0.02886248,0.01406121,2.74352133
beansprouts,white sugar,637,894,17,0.0266876,0.01901566,0.01122853,1.80753251
beef,cherry tomatoes,2489,1076,17,0.00683005,0.01579926,0.00479143,0.38434913
beef,peanut oil,2489,930,17,0.00683005,0.01827957,0.00499706,0.44468781
bell pepper,canola oil,699,1935,17,0.02432046,0.00878553,0.00649599,0.76103551
bell pepper,peas,699,961,17,0.02432046,0.01768991,0.01034693,1.53236599
bell pepper,red chili peppers,699,1212,17,0.02432046,0.0140264,0.00897571,1.21501957
black beans,sauce,1555,558,17,0.01093248,0.03046595,0.00811069,1.18631078
black olives,green pepper,595,546,17,0.02857143,0.03113553,0.01512456,3.16849817
black olives,italian seasoning,595,1134,17,0.02857143,0.01499118,0.00992991,1.52557319
black olives,lime juice,595,3816,17,0.02857143,0.00445493,0.00386891,0.4533543
black olives,paprika,595,1778,17,0.02857143,0.0095613,0.00721562,0.97300337
bread,green chilies,623,1520,17,0.02728732,0.01118421,0.00799624,1.08700473
bread,ground turmeric,623,1864,17,0.02728732,0.00912017,0.00688259,0.88639871
broccoli,ground ginger,515,890,17,0.03300971,0.01910112,0.01224784,2.24577288
broccoli,vegetable broth,515,631,17,0.03300971,0.02694136,0.01505757,3.16757189
brown sugar,cauliflower,2788,629,17,0.00609756,0.02702703,0.005,0.58697507
brown sugar,eggplant,2788,551,17,0.00609756,0.03085299,0.0051174,0.67006773
brown sugar,mayonnaise,2788,1751,17,0.00609756,0.00970874,0.0037594,0.21085512
brown sugar,white wine,2788,609,17,0.00609756,0.02791461,0.00502959,0.60625175
buttermilk,oregano,531,4074,17,0.03201507,0.0041728,0.00370532,0.47582529
buttermilk,tomato,531,7169,17,0.03201507,0.00237132,0.00221268,0.27040204
cabbage,coriander,592,1151,17,0.02871622,0.01476977,0.00984936,1.5106576
cabbage,dark soy sauce,592,622,17,0.02871622,0.02733119,0.01420217,2.79544516
cabbage,garlic powder,592,2686,17,0.02871622,0.00632911,0.00521312,0.64734434
cabbage,ground ginger,592,890,17,0.02871622,0.01910112,0.0116041,1.95367067
cabbage,ground turmeric,592,1864,17,0.02871622,0.00912017,0.00697007,0.93281486
cabbage,shaoxing wine,592,632,17,0.02871622,0.02689873,0.01408451,2.75121344
canola oil,dill,1935,879,17,0.00878553,0.01934016,0.00607794,0.60519206
canola oil,green chilies,1935,1520,17,0.00878553,0.01118421,0.00494474,0.3499762
canola oil,green pepper,1935,546,17,0.00878553,0.03113553,0.00689935,0.97429272
canola oil,peanut butter,1935,499,17,0.00878553,0.03406814,0.00703351,1.06605977
canola oil,white wine vinegar,1935,665,17,0.00878553,0.02556391,0.00658149,0.7999456
capers,shrimp,612,1739,17,0.02777778,0.00977573,0.00728363,0.96719059
cauliflower,celery,629,1507,17,0.02702703,0.01128069,0.00802265,1.08592335
cauliflower,cherry tomatoes,629,1076,17,0.02702703,0.01579926,0.01007109,1.52089822
cauliflower,coriander powder,629,666,17,0.02702703,0.02552553,0.01330203,2.45718692
cauliflower,corn starch,629,2573,17,0.02702703,0.00660707,0.00533752,0.63602273
cauliflower,red pepper,629,1751,17,0.02702703,0.00970874,0.00719424,0.93460108
cauliflower,shallots,629,2528,17,0.02702703,0.00672468,0.00541401,0.64734434
cauliflower,thyme,629,2373,17,0.02702703,0.00716393,0.00569514,0.68962768
cayenne,coriander powder,598,666,17,0.02842809,0.02552553,0.01363272,2.58456617
cayenne,milk,598,3433,17,0.02842809,0.00495194,0.00423518,0.50140433
cayenne,rice,598,1164,17,0.02842809,0.01460481,0.00974212,1.47879817
cayenne,white onion,598,1149,17,0.02842809,0.01479547,0.00982659,1.49810363
cayenne,zucchini,598,1537,17,0.02842809,0.01106051,0.00802644,1.11992262
cayenne pepper,curry leaves,1890,609,17,0.00899471,0.02791461,0.00684932,0.89430153
cayenne pepper,orange juice,1890,796,17,0.00899471,0.02135678,0.00636943,0.68420808
cayenne pepper,pork,1890,1109,17,0.00899471,0.01532913,0.00570087,0.49109976
cayenne pepper,rosemary,1890,1055,17,0.00899471,0.01611374,0.00580601,0.51623662
cayenne pepper,vanilla extract,1890,2397,17,0.00899471,0.0070922,0.00398126,0.22721303
celery,fennel seeds,1507,571,17,0.01128069,0.02977233,0.00824842,1.1962273
celery,spring onions,1507,752,17,0.01128069,0.02260638,0.00758252,0.90830557
cheese,garlic paste,15753,543,17,0.00107916,0.03130755,0.00104429,0.12033722
cherry tomatoes,flour tortillas,1076,1044,17,0.01579926,0.01628352,0.00808369,0.91632661
cherry tomatoes,sesame oil,1076,2978,17,0.01579926,0.00570853,0.00421105,0.3212374
cherry tomatoes,tomato paste,1076,1708,17,0.01579926,0.00995316,0.00614384,0.56009659
chicken,pork,7796,1109,17,0.00218061,0.01532913,0.00191269,0.1190583
chicken broth,coriander,1942,1151,17,0.00875386,0.01476977,0.00552666,0.46050942
chicken broth,dill,1942,879,17,0.00875386,0.01934016,0.00606277,0.60301063
chicken broth,red onion,1942,1162,17,0.00875386,0.01462995,0.00550696,0.45615004
chicken stock,egg yolks,1705,1025,17,0.00997067,0.01658537,0.00626613,0.58899936
chicken stock,plum tomatoes,1705,701,17,0.00997067,0.02425107,0.00711595,0.86123301
chicken stock,white vinegar,1705,557,17,0.00997067,0.03052065,0.00757238,1.08388571
chicken stock,yoghurt,1705,506,17,0.00997067,0.03359684,0.0077484,1.19313111
chickpeas,coarse salt,773,1126,17,0.02199224,0.01509769,0.00903294,1.1826199
chickpeas,green bell pepper,773,1301,17,0.02199224,0.01306687,0.00826446,1.02354344
chili powder,lemongrass,4698,645,17,0.00361856,0.02635659,0.00319189,0.33969593
chili powder,white wine vinegar,4698,665,17,0.00361856,0.02556391,0.00317995,0.32947951
chinese five spice powder,orange,663,476,17,0.02564103,0.03571429,0.01515152,3.26168929
cider vinegar,onion powder,537,1028,17,0.03165736,0.01653696,0.01098191,1.86464289
cider vinegar,orange juice,537,796,17,0.03165736,0.02135678,0.01291793,2.40810664
cider vinegar,parsley,537,3492,17,0.03165736,0.00486827,0.00423729,0.54892694
cider vinegar,tomato paste,537,1708,17,0.03165736,0.00995316,0.00763016,1.12227921
cilantro,egg yolks,9781,1025,17,0.00173806,0.01658537,0.00157568,0.10267293
cinnamon,eggplant,1634,551,17,0.01040392,0.03085299,0.00784133,1.14329793
cinnamon,onion powder,1634,1028,17,0.01040392,0.01653696,0.00642722,0.61279879
cinnamon,pork,1634,1109,17,0.01040392,0.01532913,0.00623624,0.56804072
cinnamon,red pepper flakes,1634,2319,17,0.01040392,0.00733075,0.00431911,0.27165035
cinnamon,zucchini,1634,1537,17,0.01040392,0.01106051,0.00538998,0.40986152
cinnamon sticks,flour,580,8057,17,0.02931034,0.00210997,0.00197216,0.22027323
cinnamon sticks,greek yogurt,580,1697,17,0.02931034,0.01001768,0.00752212,1.04581107
cinnamon sticks,ground ginger,580,890,17,0.02931034,0.01910112,0.01169993,1.99409144
cinnamon sticks,orange juice,580,796,17,0.02931034,0.02135678,0.0125092,2.2295746
coarse salt,green bell pepper,1126,1301,17,0.01509769,0.01306687,0.00705394,0.70266348
coarse salt,ground ginger,1126,890,17,0.01509769,0.01910112,0.00850425,1.02715189
coarse salt,romaine lettuce,1126,589,17,0.01509769,0.02886248,0.01001178,1.55206313
coconut milk,hot sauce,1735,739,17,0.00979827,0.02300406,0.00691901,0.80282179
coconut oil,cucumber,870,1907,17,0.01954023,0.00891453,0.00615942,0.62043048
coconut oil,pasta,870,2765,17,0.01954023,0.00614828,0.00469873,0.4279063
cold water,ground ginger,513,890,17,0.0331384,0.01910112,0.01226551,2.25452833
cold water,ketchup,513,858,17,0.0331384,0.01981352,0.01255539,2.3386133
cold water,orange juice,513,796,17,0.0331384,0.02135678,0.01315789,2.5207666
cold water,shrimp,513,1739,17,0.0331384,0.00977573,0.00760626,1.15384141
cold water,warm water,513,681,17,0.0331384,0.02496329,0.0144435,2.94644672
cooking oil,potato,516,1260,17,0.03294574,0.01349206,0.00966458,1.58322567
cooking spray,garam masala,2025,2179,17,0.00839506,0.00780174,0.00406019,0.23328177
cooking spray,red pepper flakes,2025,2319,17,0.00839506,0.00733075,0.00392882,0.21919836
coriander,ground cinnamon,1151,1606,17,0.01476977,0.01058531,0.00620438,0.5568551
coriander powder,curry powder,666,1003,17,0.02552553,0.01694915,0.01029056,1.54094773
coriander powder,ground cinnamon,666,1606,17,0.02552553,0.01058531,0.0075388,0.96237271
coriander powder,mint,666,1236,17,0.02552553,0.01375405,0.00901857,1.25046163
coriander seeds,honey,625,2977,17,0.0272,0.00571045,0.00474198,0.55322808
corn,panko breadcrumbs,896,2274,17,0.01897321,0.00747581,0.00539169,0.50520146
corn,parsley,896,3492,17,0.01897321,0.00486827,0.00388927,0.32898858
corn,shrimp,896,1739,17,0.01897321,0.00977573,0.00649351,0.66062572
corn starch,mango,2573,531,17,0.00660707,0.03201507,0.00550696,0.75340546
corn starch,peanut butter,2573,499,17,0.00660707,0.03406814,0.00556465,0.80172004
corn starch,plain greek yogurt,2573,1166,17,0.00660707,0.01457976,0.00456744,0.34310317
corn starch,sweet potatoes,2573,659,17,0.00660707,0.02579666,0.00528771,0.60706874
corn starch,turmeric,2573,1222,17,0.00660707,0.01391162,0.00449974,0.32737995
corn tortillas,cucumber,1253,1907,17,0.01356744,0.00891453,0.00540885,0.43078573
corn tortillas,lemon juice,1253,4935,17,0.01356744,0.00344478,0.00275482,0.16646573
corn tortillas,soy sauce,1253,5367,17,0.01356744,0.00316751,0.00257459,0.15306659
cucumber,maple syrup,1907,776,17,0.00891453,0.02190722,0.00637659,0.69558572
cucumber,milk,1907,3433,17,0.00891453,0.00495194,0.00319369,0.15723114
cucumber,orange juice,1907,796,17,0.00891453,0.02135678,0.00632911,0.67810869
cucumber,oyster sauce,1907,891,17,0.00891453,0.01907969,0.00611291,0.60580754
cucumber,salt and pepper,1907,1470,17,0.00891453,0.01156463,0.00505952,0.36719355
cucumber,turmeric,1907,1222,17,0.00891453,0.01391162,0.00546272,0.44171401
cumin,ground cinnamon,1942,1606,17,0.00875386,0.01058531,0.0048145,0.33004131
cumin,pork,1942,1109,17,0.00875386,0.01532913,0.00560316,0.47794981
cumin seed,garlic powder,1361,2686,17,0.01249082,0.00632911,0.00421836,0.28157814
cumin seed,parsley,1361,3492,17,0.01249082,0.00486827,0.0035153,0.21658616
